Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
682       6.820     -28.066065850714     13.181220752520     -41.247286603234     118.026055760689
684       6.840     -27.983781788239     13.241766978121     -41.225548766360     118.568193119062
686       6.860     -27.927105648032     13.308872771472     -41.235978419504     119.169065546325
688       6.880     -27.895756761353     13.359111753661     -41.254868515014     119.618910748414
690       6.900     -27.882075771855     13.384061462465     -41.266137234320     119.842313100730
692       6.920     -27.875176094651     13.387446706370     -41.262622801021     119.872624935529
694       6.940     -27.869404868527     13.402157408730     -41.271562277257     120.004346132653
696       6.960     -27.874414457770     13.457902921116     -41.332317378886     120.503497393132
698       6.980     -27.905359947895     13.527820290683     -41.433180238578     121.129544973556
700       7.000     -27.960702822355     13.556988729138     -41.517691551494     121.390722280895
702       7.020     -28.021170196953     13.536832633110     -41.558002830064     121.210242448382
704       7.040     -28.071657160992     13.505506726719     -41.577163887711     120.929746943158
706       7.060     -28.111196531519     13.479838430242     -41.591034961762     120.699910280216
708       7.080     -28.139122920833     13.437383859694     -41.576506780527     120.319767529788
710       7.100     -28.146709349710     13.380265805299     -41.526975155010     119.808326381850
712       7.120     -28.133667874547     13.353011064264     -41.486678938811     119.564284525215
714       7.140     -28.115255277179     13.375244988408     -41.490500265587     119.763369452175
716       7.160     -28.110362669235     13.432211141838     -41.542573811073     120.273450462682
718       7.180     -28.129514840456     13.488247454804     -41.617762295260     120.775205582556
720       7.200     -28.167517274727     13.507776826741     -41.675294101467     120.950073660746
722       7.220     -28.208549496360     13.490642168638     -41.699191664999     120.796648105510
724       7.240     -28.241221950161     13.465288806579     -41.706510756740     120.569631398915
726       7.260     -28.265014356351     13.445006121428     -41.710020477779     120.388018073899
728       7.280     -28.279742639207     13.413965526315     -41.693708165522     120.110077276273
730       7.300     -28.279954201748     13.376875249294     -41.656829451042     119.777966981940
732       7.320     -28.267709320489     13.368603499710     -41.636312820199     119.703900854378
