Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
508       5.080     -25.802587174743     12.988565581217     -38.791152755960     116.301000819441
510       5.100     -25.822333799344     13.328538311506     -39.150872110850     119.345152888174
512       5.120     -25.816208600700     13.238000677226     -39.054209277926     118.534469259354
514       5.140     -25.810626372505     12.946010145275     -38.756636517780     115.919954909534
516       5.160     -25.814670664116     12.869266298625     -38.683936962741     115.232782325592
518       5.180     -25.811087192063     12.757021631148     -38.568108823211     114.227731607514
520       5.200     -25.812017710756     12.784142442643     -38.596160153398     114.470574244762
522       5.220     -25.821743524924     12.818565867465     -38.640309392389     114.778805260225
524       5.240     -25.805154746081     12.619275444836     -38.424430190917     112.994337571275
526       5.260     -25.826622752616     12.689321311477     -38.515944064093     113.621535728200
528       5.280     -25.809105054363     12.536845208966     -38.345950263329     112.256248452073
530       5.300     -25.817883286889     12.796932692184     -38.614815979073     114.585099502616
532       5.320     -25.825728190412     12.991983296604     -38.817711487016     116.331603407353
534       5.340     -25.806825958704     12.675348207731     -38.482174166434     113.496419067692
536       5.360     -25.819596677659     12.642596080837     -38.462192758496     113.203153032052
538       5.380     -25.814383933262     12.643858404333     -38.458242337594     113.214456011195
540       5.400     -25.816471936162     12.674821649227     -38.491293585389     113.491704206717
542       5.420     -25.813548356872     12.672217252417     -38.485765609288     113.468384160045
544       5.440     -25.816043664259     12.685274697982     -38.501318362241     113.585301919587
546       5.460     -25.809521659809     12.774497646840     -38.584019306649     114.384213714992
548       5.480     -25.818198001358     13.027743469158     -38.845941470516     116.651803804506
550       5.500     -25.809327248801     12.983274249368     -38.792601498169     116.253621670000
552       5.520     -25.813274604795     12.843759262684     -38.657033867478     115.004389606672
554       5.540     -25.810194002954     12.711406426507     -38.521600429461     113.819288202492
556       5.560     -25.821335744443     12.557146919479     -38.378482663923     112.438032132213
558       5.580     -25.801525465507     12.411112161183     -38.212637626689     111.130421338848
560       5.600     -25.818460252953     13.012446526741     -38.830906779694     116.514833351418
562       5.620     -25.815409954925     13.346742088958     -39.162152043882     119.508151452034
564       5.640     -25.815676367627     13.133497092321     -38.949173459947     117.598733019833
566       5.660     -25.804338243247     12.761063185292     -38.565401428538     114.263920114149
568       5.680     -25.812254666383     12.804568242113     -38.616822908496     114.653469030646
570       5.700     -25.819953114707     12.935394269624     -38.755347384330     115.824899227276
572       5.720     -25.817296933894     12.819916569937     -38.637213503831     114.790899594148
574       5.740     -25.810262191343     12.659214525693     -38.469476717036     113.351956358847
576       5.760     -25.821943112297     12.905490692298     -38.727433804595     115.557139408128
578       5.780     -25.819848698238     12.971938469938     -38.791787168176     116.152119892571
580       5.800     -25.804394157647     12.677739828779     -38.482133986426     113.517833897511
582       5.820     -25.818737824611     12.660048289192     -38.478786113803     113.359421966097
584       5.840     -25.821254781583     12.676108798893     -38.497363580476     113.503229482037
586       5.860     -25.812478374520     12.784557661243     -38.597036035763     114.474292156371
588       5.880     -25.819909365441     12.994701938571     -38.814611304012     116.355946417335
590       5.900     -25.809126844170     12.910175840518     -38.719302684688     115.599090724732
592       5.920     -25.817202707648     12.831135997920     -38.648338705569     114.891359548319
594       5.940     -25.817323920516     12.836113129834     -38.653437050349     114.935925318042
596       5.960     -25.814878130998     12.865959823538     -38.680837954536     115.203175795186
598       5.980     -25.811718821615     12.719564352424     -38.531283174039     113.892335140798
600       6.000     -25.808445887838     12.753196333391     -38.561642221230     114.193479483615
602       6.020     -25.823088557795     12.994881669400     -38.817970227196     116.357555746345
604       6.040     -25.817247888852     12.729842127874     -38.547090016725     113.984363437807
606       6.060     -25.804739565544     12.511995926082     -38.316735491626     112.033745324158
608       6.080     -25.821443644868     12.846457051944     -38.667900696812     115.028545899304
610       6.100     -25.816849127652     12.902144359197     -38.718993486849     115.527175984815
612       6.120     -25.810828578422     12.783840539783     -38.594669118205     114.467870974377
614       6.140     -25.814200643715     12.789313177295     -38.603513821011     114.516873554052
616       6.160     -25.809714350621     12.889209388766     -38.698923739387     115.411354880682
618       6.180     -25.815457610677     13.017830997147     -38.833288607824     116.563046473431
620       6.200     -25.814529033271     13.057341901976     -38.871870935247     116.916831327206
622       6.220     -25.814374174131     13.183939620566     -38.998313794697     118.050400795013
624       6.240     -25.823845855004     13.146012475579     -38.969858330583     117.710797095690
626       6.260     -25.811876153294     12.646604706260     -38.458480859553     113.239046691410
628       6.280     -25.809642167286     12.521483270843     -38.331125438129     112.118696020512
630       6.300     -25.823420345563     12.833737423338     -38.657157768900     114.914652988823
632       6.320     -25.809157043494     12.915282474329     -38.724439517823     115.644816068254
634       6.340     -25.823380255083     13.076637251608     -38.900017506691     117.089603944732
636       6.360     -25.815245313724     13.051138070118     -38.866383383843     116.861281555408
638       6.380     -25.816887889114     13.017482216780     -38.834370105893     116.559923456837
640       6.400     -25.814388164117     12.896029795958     -38.710417960074     115.472425533746
642       6.420     -25.814214571073     12.879615708731     -38.693830279804     115.325452046945
644       6.440     -25.810842389293     12.916009413373     -38.726851802665     115.651325157944
646       6.460     -25.819996349280     12.840330695613     -38.660327044892     114.973689851627
648       6.480     -25.807500384405     12.704357137875     -38.511857522280     113.756168120613
650       6.500     -25.821487948406     12.942443538910     -38.763931487315     115.888019135929
652       6.520     -25.810785449311     12.894520017299     -38.705305466609     115.458906814687
654       6.540     -25.821716610048     12.824005509612     -38.645722119659     114.827512395879
656       6.560     -25.800123475761     12.655527833233     -38.455651308994     113.318945321549
658       6.580     -25.817514868763     12.943869938437     -38.761384807200     115.900791269356
660       6.600     -25.814767577411     13.052639243882     -38.867406821293     116.874723225318
662       6.620     -25.811765755639     12.955802458134     -38.767568213774     116.007636322752
664       6.640     -25.814818943388     12.777638247905     -38.592457191293     114.412334991718
666       6.660     -25.803470794634     12.600530611685     -38.404001406320     112.826494337008
668       6.680     -25.811784618308     12.810255813527     -38.622040431835     114.704396151394
670       6.700     -25.811902695722     13.053022621767     -38.864925317489     116.878156031766
672       6.720     -25.815433448223     13.240793941099     -39.056227389322     118.559480441838
674       6.740     -25.808607528358     13.248045072105     -39.056652600463     118.624407841852
